I1(Lex) S(gr)	I1(Lex)S(sba)	I1(Grevlex) S(gr)	I1(Grevlex)S(sba)	I2(Lex) S(gr)	I2(Lex)S(sba)	I2(Grevlex) S(gr)	I2(Grevlex)S(sba)	I3(Grevlex) S(gr)	I3(Grevlex)S(sba)
1426	62	521	146	1274	90	410	88	514	221
1437	62	509	144	1269	88	436	88	511	223
1393	62	512	145	1271	89	406	88	510	221
1400	63	505	145	1267	89	408	88	513	220
1433	62	510	143	1278	88	409	89	512	219
1403	63	508	146	1278	89	406	88	511	222
1403	63	510	149	1269	88	416	90	515	225
1417	62	509	146	1282	89	408	88	516	218
1402	64	509	146	1252	89	407	87	514	222
1429	62	512	144	1284	90	406	88	518	222
1399	62	511	151	1275	88	405	87	513	228
1435	63	517	145	1258	88	407	88	518	221
1428	63	508	148	1264	89	405	88	513	222
1400	62	509	146	1271	88	419	89	513	220
1429	62	513	143	1270	89	409	89	514	217
1415	62	525	145	1277	89	412	88	514	219
1398	62	508	146	1268	89	407	88	510	221
1408	62	516	143	1256	89	407	87	513	220
1401	62	510	146	1282	91	404	87	515	218
1419	63	514	151	1281	89	407	88	518	219
1399	62	513	147	1271	89	440	88	512	221
1419	63	513	147	1274	89	406	89	512	217
1426	62	525	147	1281	89	410	89	515	232
1399	62	514	146	1280	88	406	88	528	221
1425	62	513	145	1290	89	408	87	520	219
1402	63	510	148	1274	89	406	87	522	217
1397	61	514	144	1259	88	408	87	519	218
1401	63	512	151	1264	89	410	87	522	264
1398	63	516	148	1276	89	406	87	519	215
1413	62	513	145	1267	89	408	88	522	218
1410	61	513	144	1272	89	409	90	513	218
1398	61	509	145	1261	90	408	87	513	218
1406	62	541	143	1268	89	406	87	516	256
1398	63	517	145	1265	89	407	87	512	216
1420	62	515	148	1272	90	409	92	515	217
1410	63	508	144	1266	88	407	87	514	216
1409	62	511	147	1266	89	406	88	508	222
1397	75	509	146	1273	89	408	88	511	235
1396	62	512	145	1278	88	409	87	512	220
1414	62	518	144	1289	90	409	89	516	218
1435	63	510	146	1277	94	409	88	513	219
1410	64	508	144	1278	91	410	89	516	221
1399	63	511	146	1281	90	413	88	513	220
1414	62	512	149	1289	90	408	87	514	220
1413	62	515	158	1287	89	411	88	512	219
1406	61	513	146	1276	89	404	90	512	220
1396	62	506	146	1291	88	409	89	510	218
1397	63	509	146	1275	89	409	87	516	236
1404	62	511	147	1281	90	405	88	523	219
1413	62	512	147	1280	90	421	89	514	219
1397	62	517	147	1279	90	404	88	510	218
1415	61	507	145	1273	89	405	87	512	219
1399	61	511	146	1290	90	407	87	510	222
1419	63	510	147	1254	89	406	87	527	218
1415	62	514	145	1263	104	405	87	516	219
1424	62	515	148	1272	89	402	87	512	221
1418	62	511	143	1281	89	409	87	513	221
1421	63	509	144	1290	88	406	89	512	223
1425	61	512	143	1279	89	405	87	521	248
1416	62	514	142	1276	88	406	88	542	220
1395	62	512	143	1289	90	406	87	514	220
1401	62	522	146	1279	90	407	89	513	219
1396	63	513	148	1266	89	409	90	509	222
1395	63	508	146	1280	89	409	88	517	215
1430	61	511	145	1292	89	407	87	511	219
1397	62	509	143	1277	88	406	88	510	218
1409	63	507	146	1284	89	404	88	509	223
1415	62	532	145	1273	89	406	87	518	218
1400	63	512	146	1281	90	409	90	523	218
1438	63	512	146	1272	88	410	88	521	221
1394	62	510	147	1294	89	407	89	523	218
1408	62	511	150	1287	88	408	87	520	224
1421	62	507	147	1285	89	405	87	514	221
1395	63	509	144	1279	89	404	88	531	219
1425	62	511	147	1330	88	406	88	514	229
1392	63	510	148	1265	90	405	88	511	221
1399	62	509	148	1275	89	407	89	510	221
1433	62	509	148	1284	89	406	91	515	218
1398	63	514	148	1275	88	426	89	516	220
1429	62	517	148	1271	90	409	88	517	218
1399	63	514	147	1268	88	406	87	517	218
1399	61	509	149	1273	90	410	87	511	220
1410	62	511	145	1267	90	411	88	511	219
1404	63	515	154	1275	90	404	86	525	220
1418	76	514	148	1275	89	407	88	516	218
1416	63	516	146	1272	90	410	88	513	220
1405	62	515	145	1276	88	406	86	513	223
1454	62	511	144	1263	88	407	87	517	219
1397	61	514	144	1289	88	407	87	522	221
1424	62	530	148	1272	89	410	87	518	220
1451	63	515	148	1265	90	406	86	516	221
1399	62	512	145	1337	88	405	87	514	225
1425	62	513	148	1273	88	406	93	512	217
1404	63	514	145	1272	89	410	89	529	218
1414	62	516	145	1295	88	419	88	514	217
1404	62	525	145	1282	89	407	87	510	218
1400	62	513	144	1273	88	406	88	515	217
1397	62	510	146	1286	89	407	87	515	220
1414	62	515	146	1264	88	409	87	524	216
1423	62	523	146	1277	88	408	87	515	218
1413	62	517	147	1256	88	409	88	513	220
1420	62	514	146	1267	89	408	87	516	216
1398	62	516	143	1289	91	406	87	542	219
1448	61	516	145	1277	91	406	88	522	218
1406	62	515	147	1288	90	414	88	522	219
1430	63	514	145	1274	91	407	89	516	218
1392	63	515	146	1288	90	407	87	520	219
1396	62	512	144	1256	89	420	88	518	218
1432	62	512	144	1281	89	408	89	526	216
1412	62	514	145	1279	89	408	89	515	220
1544	66	512	144	1276	89	409	87	513	218
1420	63	516	149	1278	89	406	88	515	218
1400	62	515	147	1273	90	407	88	517	214
1422	62	512	144	1267	89	406	88	550	220
1420	63	513	143	1271	89	438	88	515	222
1428	62	511	144	1263	89	406	86	514	217
1403	62	519	144	1270	89	406	88	514	220
1398	62	526	146	1281	89	405	87	518	220
1404	62	510	157	1275	89	410	88	537	243
1425	63	512	145	1277	88	403	87	717	216
1401	62	516	147	1276	89	403	87	515	221
1416	62	510	145	1279	89	407	88	543	221
1402	63	510	147	1295	90	405	88	514	218
1415	61	514	146	1297	90	407	90	515	223
1427	61	511	147	1290	90	411	89	510	248
1400	63	511	145	1274	89	412	88	511	221
1434	62	511	147	1290	88	411	88	513	217
1427	62	508	145	1290	88	406	86	512	226
1426	64	512	145	1300	88	404	88	526	222
1453	62	514	146	1289	88	412	88	514	217
1424	62	505	145	1290	89	405	88	509	219
1412	62	509	148	1276	88	405	88	512	219
1398	61	510	150	1284	89	407	87	509	223
1402	62	510	148	1293	90	405	88	546	221
1425	62	527	146	1286	89	407	88	516	222
1404	63	512	147	1291	90	405	87	519	221
1419	62	513	144	1296	89	418	87	521	222
1424	62	510	147	1282	89	402	87	516	222
1431	62	508	144	1282	89	403	88	550	223
1454	64	512	147	1304	89	407	89	512	221
1459	64	516	146	1291	89	408	89	513	228
1457	65	511	145	1287	90	409	88	509	220
1478	64	512	145	1283	90	406	88	509	220
1430	63	512	147	1261	90	408	127	542	217
1456	63	515	144	1288	94	407	87	511	220
1435	64	516	148	1280	90	408	86	513	218
1432	63	519	149	1288	89	407	87	511	219
1493	65	515	144	1284	89	408	87	515	218
1471	66	513	148	1292	89	406	88	526	244
1469	66	513	145	1280	90	416	222	548	223
1467	65	515	147	1303	89	419	132	512	220
1473	65	514	146	1281	90	426	90	515	229
1500	66	514	146	1277	88	519	87	517	219
1470	64	514	146	1294	89	402	86	535	239
1517	67	513	150	1268	88	403	87	518	220
1527	67	512	148	1268	88	406	89	517	220
1514	67	510	148	1275	90	403	89	510	218
1516	66	509	144	1278	90	409	100	513	217
1514	68	512	145	1284	89	416	88	510	234
1536	68	513	147	1286	89	407	88	511	222
1515	67	510	145	1282	89	435	88	511	220
1507	67	509	144	1275	89	408	87	515	218
1561	70	523	146	1279	89	406	88	510	220
1555	70	511	145	1280	89	410	87	510	226
1591	71	514	144	1306	88	411	88	516	218
1567	69	510	146	1287	90	449	87	514	218
1575	83	508	144	1296	89	412	87	519	218
1573	71	510	148	1306	89	406	89	519	221
1559	68	515	144	1283	89	409	89	518	220
1629	72	512	143	1298	89	408	89	524	218
1602	72	509	146	1285	88	408	87	514	218
1612	72	503	146	1285	89	411	89	517	219
1615	71	507	145	1274	87	444	89	511	220
1636	72	506	146	1283	88	413	88	515	218
1620	72	510	148	1275	88	409	88	520	215
1604	71	507	144	1299	89	407	87	514	219
1681	75	508	146	1277	88	407	88	511	218
1661	73	509	143	1288	89	407	88	515	218
1662	73	507	147	1285	89	434	88	533	233
1676	74	515	143	1292	88	409	99	533	225
1680	72	507	146	1274	87	406	87	521	218
1660	73	504	143	1296	88	409	87	520	217
1684	75	510	145	1263	88	408	88	519	217
1731	76	509	145	1288	89	405	88	519	216
1730	77	512	143	1281	88	409	88	526	218
1714	77	523	145	1288	88	407	88	519	217
1709	76	513	144	1274	89	409	88	515	214
1712	76	512	144	1308	90	415	89	520	216
1726	77	524	146	1266	89	420	89	522	216
1781	77	514	143	1301	96	413	88	529	219
1774	79	512	144	1291	89	410	87	526	247
1803	80	516	148	1274	88	410	87	830	216
1776	79	514	144	1264	88	412	87	518	215
1802	79	509	147	1286	90	414	87	525	217
1789	80	512	146	1274	88	417	86	528	217
1797	77	513	147	1279	89	408	88	524	219
1783	80	514	147	1272	90	408	88	520	216
1857	82	510	145	1274	89	410	87	526	217
1851	82	510	147	1284	89	410	87	523	221
1878	82	509	147	1274	89	411	88	531	218
1851	81	514	146	1267	88	408	87	515	219
1843	81	505	148	1276	89	410	100	518	220
1850	80	518	149	1268	89	412	88	514	217
1863	80	511	145	1272	89	410	89	511	218
1850	80	510	147	1277	89	440	89	520	219
1836	81	507	148	1291	89	409	88	515	222
1837	81	510	146	1277	89	409	88	513	218
1843	82	510	147	1296	90	409	86	511	220
1834	81	523	147	1289	91	411	88	513	218
1862	81	511	147	1312	89	419	87	529	220
1826	81	516	147	1301	90	413	87	512	220
1865	80	512	148	1298	90	405	87	512	221
1830	82	509	146	1300	89	407	87	514	220
1841	82	511	153	1306	90	408	88	515	218
1852	82	516	147	1300	90	407	88	523	223
1848	81	511	148	1286	89	405	88	517	224
1855	80	510	148	1303	89	422	87	515	219
1842	80	512	147	1286	90	406	88	512	221
1823	81	511	146	1301	89	404	87	510	220
1854	82	520	145	1288	90	409	89	517	220
1824	82	510	146	1295	102	407	88	512	217
1829	81	514	143	1294	89	404	87	512	218
1824	81	511	144	1292	89	405	88	513	218
1842	82	513	144	1296	89	407	88	511	230
1848	80	514	147	1296	89	421	88	512	223
1859	80	524	146	1304	89	405	87	510	220
1820	82	512	142	1293	89	405	87	518	220
1834	81	511	143	1289	89	406	86	513	221
1832	81	511	143	1292	91	407	88	515	220
1852	87	511	146	1302	90	406	87	517	227
1832	81	510	183	1295	91	404	87	517	219
1846	90	508	145	1303	89	418	87	515	221
1844	82	509	146	1305	91	404	88	518	221
1834	82	511	157	1274	89	406	88	511	221
1845	82	612	143	1294	89	410	89	512	218
1843	81	505	145	1301	89	409	89	515	229
1842	82	523	143	1287	89	409	87	513	222
1840	82	509	145	1305	90	406	87	513	218
1860	81	506	144	1314	90	404	88	512	218
1853	83	505	144	1295	89	413	87	515	221
1836	79	509	144	1303	89	410	87	525	223
1830	83	507	145	1300	89	407	88	514	219
1844	83	515	143	1270	89	407	87	510	220
1834	82	510	146	1302	89	406	88	515	222
1854	81	512	146	1294	89	413	88	520	220
1845	81	506	145	1283	89	406	87	533	222
1842	82	508	144	1291	89	419	87	516	223
1830	80	510	146	1306	90	405	87	516	224
1840	82	514	144	1290	89	406	87	517	219
1855	82	517	146	1300	90	406	87	515	223
1855	81	510	144	1294	91	413	89	524	220
1839	81	508	146	1278	90	410	89	512	220
1837	82	510	144	1290	90	408	89	509	220
1852	82	528	144	1299	89	406	88	513	220
1868	81	509	143	1298	89	410	87	510	220
1843	82	504	146	1292	88	406	86	528	236
1849	81	507	145	1279	90	405	87	509	218
1846	81	507	146	1303	89	403	87	514	220
1842	82	509	149	1289	89	408	87	515	219
1859	81	550	145	1293	90	406	88	515	222
1855	80	508	147	1294	90	404	88	516	224
1835	81	510	146	1293	89	421	89	517	220
1868	82	509	146	1289	90	408	87	524	243
1839	82	510	145	1297	89	405	87	516	221
1871	82	511	146	1292	89	406	87	516	220
1844	81	542	144	1272	105	406	86	515	231
1848	81	507	151	1300	90	404	89	510	220
1859	81	514	147	1295	89	412	88	511	226
1864	80	507	145	1286	89	407	89	512	217
1854	80	511	143	1293	88	406	87	517	217
1845	82	511	179	1288	89	406	88	512	219
1845	81	512	149	1301	89	405	86	536	220
1846	81	516	147	1293	88	407	87	511	216
1855	81	515	147	1293	88	407	87	513	220
1867	82	515	146	1285	88	406	87	540	219
1834	81	514	147	1287	89	403	86	521	219
1854	80	519	146	1285	88	411	87	517	219
1843	81	515	145	1297	90	404	88	520	219
1858	82	512	144	1268	89	404	87	520	219
1857	82	515	148	1291	88	408	88	522	221
1843	81	515	145	1296	88	405	87	517	217
1861	81	513	146	1283	88	405	88	519	217
1848	81	527	142	1296	88	410	88	513	217
1835	81	515	144	1289	89	415	89	514	217
1862	82	515	143	1280	89	412	86	518	217
1848	82	513	144	1298	89	407	86	516	219
1841	81	517	147	1299	89	405	87	562	218
1838	83	511	144	1273	89	406	87	513	217
1853	80	517	146	1312	88	407	87	517	220
1852	81	513	143	1287	88	409	87	516	220
1845	80	512	146	1286	89	406	86	519	221
1871	82	510	145	1322	91	420	86	513	254
1852	81	514	146	1288	90	405	87	517	222
1839	82	510	149	1286	90	407	87	516	221
1881	82	511	146	1308	90	410	87	516	221
1853	81	513	145	1287	89	403	86	517	223
1858	80	508	145	1264	88	404	87	512	254
1838	81	511	142	1306	89	406	89	508	220
1843	81	509	147	1286	88	407	89	510	219
1869	80	515	146	1306	89	417	88	518	219
1848	81	513	147	1278	89	405	87	510	217
1824	81	511	146	1283	90	406	86	511	223
1847	81	514	144	1309	89	402	88	514	218
1866	81	509	145	1281	89	406	86	515	216
1860	82	510	144	1287	89	408	87	513	219
1837	80	516	145	1304	89	405	87	514	221
1852	81	507	144	1286	88	411	88	512	219
1856	82	514	146	1274	89	405	88	530	218
1860	82	507	145	1318	88	405	86	514	221
1857	81	511	144	1285	88	407	86	517	222
1863	81	514	143	1283	90	407	87	515	219
1839	81	517	143	1333	89	408	87	510	219
1839	80	511	143	1292	89	408	87	530	220
1828	82	512	147	1340	107	407	88	539	244
1861	82	512	148	1288	89	438	89	520	217
1836	81	507	145	1291	90	406	89	510	218
1841	80	514	148	1308	89	407	89	509	221
1840	81	511	144	1287	89	406	86	517	216
1827	82	507	145	1292	89	405	87	509	221
1852	80	511	144	1291	89	407	86	512	221
1839	86	510	146	1297	89	405	86	513	219
1833	82	510	145	1278	89	406	114	518	218
1848	89	512	151	1300	90	404	87	517	233
1852	82	509	148	1286	89	407	86	521	220
1855	82	513	144	1300	88	406	87	523	218
1850	83	511	147	1283	88	404	88	514	220
1825	81	508	146	1283	87	407	87	514	224
1854	81	510	148	1277	88	405	87	531	234
1834	82	523	148	1306	89	407	87	513	218
1861	81	514	149	1296	88	416	89	513	218
1827	80	512	145	1267	89	409	88	511	223
1857	82	512	146	1300	88	407	88	512	220
1851	81	520	146	1273	89	406	87	510	221
1840	80	514	148	1288	89	406	88	523	233
1844	80	522	146	1283	90	407	87	521	215
1845	82	515	147	1292	88	411	88	513	220
1839	82	514	146	1279	89	408	87	512	222
1850	81	514	146	1284	89	410	87	516	222
1827	81	515	146	1285	89	406	87	521	217
1878	81	518	148	1307	88	406	87	515	222
1836	83	521	143	1288	90	405	87	513	223
1877	80	514	146	1263	89	407	87	514	223
1835	82	513	149	1285	90	412	88	521	219
1869	82	509	147	1279	88	407	88	519	219
1854	81	510	149	1278	89	412	89	517	219
1863	81	511	148	1287	162	407	88	514	218
1860	81	514	144	1569	91	410	87	512	219
1899	80	510	144	1419	90	405	86	511	219
1833	80	515	145	1408	89	404	87	509	258
1862	81	515	144	1297	90	408	87	514	220
1833	82	512	144	1308	90	404	86	512	216
1866	81	532	146	1306	88	405	87	514	218
1833	82	513	144	1259	88	419	88	513	218
1877	81	513	143	1264	88	407	88	513	219
1851	81	513	143	1273	89	411	87	522	217
1838	80	518	142	1258	89	406	86	515	220
1833	81	514	145	1299	88	406	87	517	216
1860	80	530	143	1258	89	407	87	518	219
1833	81	510	144	1267	90	403	87	551	232
1892	81	515	143	1285	89	408	118	565	218
1829	81	514	143	1281	88	407	90	513	217
1872	89	514	144	1288	88	407	89	513	216
1832	80	511	144	1291	88	410	89	512	222
1839	82	526	144	1281	88	405	87	518	216
1862	81	515	144	1292	91	409	87	521	213
1874	82	514	143	1283	89	408	87	519	215
1836	81	513	142	1291	89	406	87	514	220
1848	82	509	143	1289	89	436	86	511	216
1863	81	509	144	1269	90	404	87	512	217
1880	81	526	142	1286	90	406	87	522	219
1836	80	513	147	1292	88	408	88	516	217
1868	81	510	143	1289	88	406	89	523	217
1835	81	512	146	1279	88	410	87	516	220
1853	81	512	143	1304	89	406	87	516	220
1847	81	515	151	1286	88	411	88	511	225
1882	81	510	144	1289	90	454	87	513	223
1829	82	510	146	1292	90	406	89	508	217
1858	80	512	144	1269	89	417	89	509	219
1827	82	508	145	1265	89	411	89	508	217
1861	81	513	144	1283	89	409	87	512	223
1827	81	510	154	1292	88	406	88	516	218
1847	82	511	146	1280	88	407	94	511	217
1849	83	509	144	1272	89	439	86	508	218
1858	82	511	145	1290	88	407	86	512	220
1857	80	514	148	1293	89	412	87	516	218
1850	81	516	146	1279	89	404	86	522	219
1838	81	517	146	1263	88	406	87	513	220
1835	81	514	148	1281	88	406	87	516	218
1840	80	511	144	1294	89	407	87	512	223
1855	98	515	146	1275	89	409	86	517	221
1847	81	509	145	1283	89	415	88	517	220
1853	81	511	148	1280	90	408	87	510	219
1848	81	515	145	1271	90	408	88	513	221
1852	82	514	145	1299	89	411	87	513	220
1864	81	521	143	1274	89	409	87	511	216
1847	82	510	144	1283	87	407	86	511	231
1859	80	511	144	1291	90	406	86	517	219
1853	81	516	143	1293	88	405	88	513	218
1843	79	529	149	1278	89	412	87	510	219
1851	81	513	146	1279	89	408	88	516	218
1840	82	515	147	1279	90	410	86	515	222
1834	82	513	145	1300	88	407	86	518	222
1847	81	522	147	1276	88	406	86	513	220
1850	80	513	144	1277	89	404	87	514	221
1840	81	521	146	1291	89	406	87	519	220
1822	80	513	146	1279	88	412	86	533	273
1854	80	513	147	1287	88	405	87	827	213
1847	81	515	148	1280	88	407	88	512	218
1840	81	511	144	1278	89	409	90	511	219
1856	81	517	158	1294	89	413	88	512	220
1851	81	514	143	1289	89	408	87	514	219
1859	82	515	144	1283	88	407	87	518	218
1835	82	516	146	1274	89	412	87	512	218
1836	81	512	143	1273	89	410	86	516	218
1877	81	514	145	1275	89	411	86	514	222
1863	81	514	149	1282	87	407	88	516	218
1855	81	518	144	1279	88	406	87	525	218
1869	80	514	146	1281	89	434	88	515	220
1864	81	510	144	1278	89	405	87	515	221
1862	83	515	147	1286	89	410	87	518	223
1857	80	513	144	1278	89	409	87	516	220
1867	81	517	144	1292	101	420	86	516	225
1851	82	509	146	1267	88	405	87	511	217
1839	81	506	146	1270	88	405	88	514	217
1901	81	512	144	1289	88	407	89	510	219
1841	79	506	144	1279	88	412	87	510	217
1870	80	510	147	1271	89	406	88	509	218
1841	80	525	143	1282	88	409	87	517	224
1864	81	509	146	1273	88	411	87	506	219
1853	81	519	142	1276	88	408	86	511	215
1861	80	511	146	1282	89	405	86	508	217
1834	80	509	142	1257	89	403	85	512	221
1890	84	513	145	1271	88	405	87	524	216
1925	84	514	143	1293	88	405	87	514	219
1939	84	512	145	1278	88	406	88	516	219
1929	82	509	142	1277	87	405	87	515	219
1930	83	517	143	1270	87	412	88	519	218
1908	91	513	143	1251	87	406	85	525	219
1959	87	512	142	1278	89	405	86	511	219
1998	87	518	145	1275	89	408	88	515	215
2040	86	512	146	1259	89	410	91	511	221
1982	86	510	169	1274	89	407	87	513	218
1980	86	507	142	1275	89	405	87	510	222
1967	87	510	144	1270	88	407	87	515	215
2080	91	509	143	1272	89	411	87	511	217
2051	90	525	145	1283	89	405	87	516	216
2093	90	508	144	1266	89	405	86	512	216
2096	91	511	146	1262	90	405	86	516	219
2051	90	515	146	1274	89	408	86	521	217
2115	94	521	144	1279	89	409	87	526	216
2131	95	510	146	1275	88	408	86	519	218
2137	94	517	144	1285	87	404	88	519	217
2130	94	512	143	1262	88	416	87	517	222
2135	93	505	149	1283	89	406	87	522	220
2155	94	512	147	1275	88	409	88	512	219
2250	97	511	143	1275	88	408	89	515	217
2248	97	512	151	1271	88	409	88	512	220
2223	99	509	143	1273	89	406	87	510	219
2248	98	505	145	1259	88	406	86	514	232
2247	97	508	144	1294	89	407	91	515	218
2339	101	513	145	1275	90	404	87	510	219
2332	103	513	143	1272	89	406	88	510	220
2338	102	512	149	1280	90	409	88	510	229
2339	100	509	146	1276	90	404	88	510	220
2367	106	513	142	1300	88	406	86	526	220
2415	107	536	141	1279	87	404	87	518	225
2454	106	508	145	1266	89	405	87	514	224
2417	106	511	145	1258	89	412	87	514	218
2419	106	511	148	1266	88	407	86	511	226
2490	112	513	144	1269	88	407	88	518	219
2529	112	524	142	1268	88	404	88	508	220
2533	111	510	141	1273	88	409	89	515	224
2543	111	509	142	1264	89	411	88	513	219
2527	112	516	141	1274	89	405	87	510	221
2688	116	517	142	1269	88	406	87	511	224
2694	125	513	140	1272	89	411	86	510	230
2703	117	506	141	1254	94	407	86	508	221
2672	117	509	140	1267	89	401	87	520	275
2776	122	509	139	1281	87	403	86	507	219
2839	123	506	141	1278	88	404	87	518	234
2795	145	527	141	1267	90	404	87	512	219
2794	122	504	141	1282	90	404	87	518	219
2914	130	508	143	1276	88	407	88	512	217
2990	128	505	144	1267	89	413	86	516	220
2980	130	506	144	1266	90	406	87	521	218
2942	129	504	141	1263	88	406	87	515	219
3117	137	538	142	1249	88	402	89	511	218
3143	138	509	141	1274	88	408	89	513	218
3152	136	523	143	1266	88	408	89	511	222
3197	146	506	141	1262	89	406	89	513	218
3322	146	505	139	1265	90	406	88	519	217
3356	146	507	139	1277	88	422	88	517	223
3325	146	509	168	1266	88	408	87	510	222
3543	155	501	143	1262	89	404	88	513	219
3567	156	506	142	1281	88	406	87	513	231
3549	157	505	141	1253	89	402	88	513	225
3731	166	505	143	1277	89	405	87	511	222
3843	167	502	140	1255	89	408	88	525	221
3816	167	511	139	1258	87	406	86	505	219
4079	179	513	140	1263	89	413	89	511	221
4220	181	507	142	1259	89	414	89	511	221
4834	380	516	152	1297	91	422	96	534	222
